feature_set,classifier,run,number_of_features,train_accuracy,test_accuracy,fit_and_predict_seconds
Labeled simplets (12 dim),Linear SVM,4,88,0.8143678160919541,0.8136342955361205,0.13857507705688477
Labeled simplets (12 dim),SVM,4,88,0.8143678160919541,0.8004398159850361,1.9742424488067627
Labeled simplets (12 dim),KNN,4,88,0.7942528735632184,0.7874475506799454,2.2369611263275146
Labeled simplets (12 dim),Decision tree,4,88,0.8143678160919541,0.8135837419746221,0.03189659118652344
Labeled simplets (all),Logistic regression,4,111,0.832183908045977,0.8457358070876093,0.5251405239105225
Labeled simplets (all),Linear SVM,4,111,0.832183908045977,0.8432081290126889,0.16581368446350098
Labeled simplets (all),SVM,4,111,0.832183908045977,0.8338051665739852,1.8763313293457031
Labeled simplets (all),KNN,4,111,0.8126436781609195,0.8190940801779485,2.51680326461792
Labeled simplets (all),Decision tree,4,111,0.832183908045977,0.8383044335473434,0.024715662002563477
Unlabeled simplets,Logistic regression,4,272,0.5741379310344827,0.23429048076436984,1.6200926303863525
Unlabeled simplets,Linear SVM,4,272,0.5327586206896552,0.24076133663616603,0.09664011001586914
Unlabeled simplets,SVM,4,272,0.6206896551724138,0.24624639805874324,5.678971290588379
Unlabeled simplets,KNN,4,272,0.8045977011494253,0.23105505282847177,1.5915045738220215
Unlabeled simplets,Decision tree,4,272,0.832183908045977,0.21702643951266368,0.06471443176269531
Shuffled-label simplets,Logistic regression,4,37,0.25689655172413794,0.19306405136241847,0.020032167434692383
Shuffled-label simplets,Linear SVM,4,37,0.253448275862069,0.19354431019665336,0.025704383850097656
Shuffled-label simplets,SVM,4,37,0.3,0.1918760426672059,1.6292736530303955
Shuffled-label simplets,KNN,4,37,0.2545977011494253,0.2479652191496891,1.7922582626342773
Shuffled-label simplets,Decision tree,4,37,0.3057471264367816,0.18540518679540974,0.008527517318725586
UniGCNII embeddings,Logistic regression,4,64,0.9126436781609195,0.9099641069713361,0.08072066307067871
UniGCNII embeddings,Linear SVM,4,64,0.9126436781609195,0.9115312673777868,0.10011410713195801
UniGCNII embeddings,SVM,4,64,0.906896551724138,0.9106718568323139,1.421433687210083
UniGCNII embeddings,KNN,4,64,0.9977011494252873,0.9050098579444922,0.11620521545410156
UniGCNII embeddings,Decision tree,4,64,0.9977011494252873,0.8567564834942621,0.0747671127319336
Labeled simplets (12 dim),Logistic regression,5,88,0.8201149425287356,0.8137354026591174,0.026205062866210938
Labeled simplets (12 dim),Linear SVM,5,88,0.8201149425287356,0.813684849097619,0.09408950805664062
Labeled simplets (12 dim),SVM,5,88,0.8195402298850575,0.8068601182953339,1.0776474475860596
Labeled simplets (12 dim),KNN,5,88,0.8074712643678161,0.8295586674081189,1.433434009552002
Labeled simplets (12 dim),Decision tree,5,88,0.8201149425287356,0.808351448359537,0.009550809860229492
Labeled simplets (all),Logistic regression,5,111,0.8396551724137931,0.8444214144886507,0.020775318145751953
Labeled simplets (all),Linear SVM,5,111,0.8396551724137931,0.841716798948486,0.0691976547241211
Labeled simplets (all),SVM,5,111,0.8385057471264368,0.8079217430868004,1.1926765441894531
Labeled simplets (all),KNN,5,111,0.7965517241379311,0.7982407360598555,1.4561891555786133
Labeled simplets (all),Decision tree,5,111,0.8396551724137931,0.838127496082099,0.01077580451965332
Unlabeled simplets,Logistic regression,5,272,0.5793103448275863,0.23967443506395025,0.09854722023010254
Unlabeled simplets,Linear SVM,5,272,0.5454022988505747,0.24053384560942317,0.07260775566101074
Unlabeled simplets,SVM,5,272,0.6350574712643678,0.24771245134219705,5.313892602920532
Unlabeled simplets,KNN,5,272,0.8350574712643678,0.2567362620696628,1.5627756118774414
Unlabeled simplets,Decision tree,5,272,0.8436781609195402,0.2300187048177544,0.06609845161437988
Shuffled-label simplets,Logistic regression,5,37,0.24885057471264369,0.18421717810019717,0.019501209259033203
Shuffled-label simplets,Linear SVM,5,37,0.2471264367816092,0.18489965118042567,0.02196359634399414
Shuffled-label simplets,SVM,5,37,0.2971264367816092,0.18879227541580304,1.642280101776123
Shuffled-label simplets,KNN,5,37,0.2367816091954023,0.13449775036651332,1.80832839012146
Shuffled-label simplets,Decision tree,5,37,0.3040229885057471,0.18328193721247663,0.008577346801757812
UniGCNII embeddings,Logistic regression,5,64,0.9206896551724137,0.9102421515595773,0.07627439498901367
UniGCNII embeddings,Linear SVM,5,64,0.9206896551724137,0.9099893837520854,0.09688496589660645
UniGCNII embeddings,SVM,5,64,0.9166666666666666,0.9097366159445933,1.3306968212127686
UniGCNII embeddings,KNN,5,64,0.9977011494252873,0.9009908498053688,0.11777329444885254
UniGCNII embeddings,Decision tree,5,64,0.9977011494252873,0.8599160810879126,0.07857513427734375
Labeled simplets (12 dim),Logistic regression,6,88,0.8183908045977012,0.8121429654719174,0.02303600311279297
Labeled simplets (12 dim),Linear SVM,6,88,0.8183908045977012,0.8121429654719174,0.05922532081604004
Labeled simplets (12 dim),SVM,6,88,0.8183908045977012,0.8027905565947121,1.048112392425537
Labeled simplets (12 dim),KNN,6,88,0.8097701149425287,0.7868914615034629,1.5795831680297852
Labeled simplets (12 dim),Decision tree,6,88,0.8183908045977012,0.8119154744451746,0.009277582168579102
Labeled simplets (all),Logistic regression,6,111,0.8333333333333334,0.845331378595622,0.030038833618164062
Labeled simplets (all),Linear SVM,6,111,0.8333333333333334,0.8438653253121683,0.05138516426086426
Labeled simplets (all),SVM,6,111,0.8333333333333334,0.8332238006167535,1.1540863513946533
